Set(Tea Powder)->5383
Set(Lassi)->5431
Set(Yougurt)->5502
Set(Coffee Powder)->5508
Set(Panner)->5444
Set(Butter)->5480
Set(Sugar)->5482
Set(Sweet)->5483
Set(Bread)->5484
Set(Ghee)->5509
Set(Milk)->5526
Set(Cheese)->5475
Set(Sweet, Panner)->2505
Set(Milk, Panner)->2483
Set(Tea Powder, Coffee Powder)->2451
Set(Butter, Panner)->2483
Set(Sweet, Milk)->2512
Set(Coffee Powder, Bread)->2528
Set(Sweet, Ghee)->2504
Set(Sweet, Yougurt)->2478
Set(Butter, Milk)->2491
Set(Ghee, Panner)->2523
Set(Sweet, Bread)->2539
Set(Butter, Lassi)->2500
Set(Coffee Powder, Milk)->2518
Set(Lassi, Cheese)->2483
Set(Yougurt, Coffee Powder)->2554
Set(Tea Powder, Bread)->2445
Set(Sugar, Milk)->2563
Set(Sweet, Tea Powder)->2503
Set(Lassi, Coffee Powder)->2511
Set(Sugar, Coffee Powder)->2503
Set(Sweet, Cheese)->2498
Set(Sugar, Ghee)->2516
Set(Sweet, Lassi)->2576
Set(Sugar, Lassi)->2503
Set(Butter, Ghee)->2529
Set(Yougurt, Cheese)->2531
Set(Tea Powder, Cheese)->2391
Set(Tea Powder, Ghee)->2418
Set(Yougurt, Milk)->2513
Set(Coffee Powder, Cheese)->2516
Set(Butter, Yougurt)->2528
Set(Butter, Cheese)->2484
Set(Sugar, Tea Powder)->2473
Set(Tea Powder, Panner)->2409
Set(Cheese, Bread)->2530
Set(Tea Powder, Milk)->2444
Set(Lassi, Panner)->2497
Set(Butter, Coffee Powder)->2501
Set(Cheese, Panner)->2497
Set(Tea Powder, Lassi)->2439
Set(Ghee, Coffee Powder)->2577
Set(Tea Powder, Yougurt)->2486
Set(Lassi, Bread)->2506
Set(Butter, Sweet)->2543
Set(Ghee, Cheese)->2471
Set(Sugar, Bread)->2479
Set(Yougurt, Panner)->2498
Set(Ghee, Milk)->2511
Set(Yougurt, Bread)->2507
Set(Coffee Powder, Panner)->2482
Set(Bread, Milk)->2517
Set(Lassi, Milk)->2539
Set(Sugar, Panner)->2505
Set(Ghee, Bread)->2503
Set(Sugar, Yougurt)->2529
Set(Butter, Tea Powder)->2417
Set(Cheese, Milk)->2468
Set(Butter, Bread)->2467
Set(Bread, Panner)->2550
Set(Ghee, Yougurt)->2476
Set(Yougurt, Lassi)->2465
Set(Sugar, Sweet)->2495
Set(Sugar, Cheese)->2460
Set(Sweet, Coffee Powder)->2496
Set(Ghee, Lassi)->2510
Set(Sugar, Butter)->2571
Set(Butter, Tea Powder, Coffee Powder, Cheese)->516
Set(Tea Powder, Yougurt, Lassi, Coffee Powder)->543
Set(Sugar, Butter, Lassi, Bread)->567
Set(Sugar, Sweet, Ghee, Cheese)->514
Set(Yougurt, Lassi, Milk, Panner)->576
Set(Sweet, Ghee, Yougurt, Coffee Powder)->552
Set(Tea Powder, Ghee, Cheese, Panner)->509
Set(Sugar, Bread, Milk, Panner)->584
Set(Butter, Coffee Powder, Cheese, Bread)->543
Set(Sugar, Butter, Sweet, Coffee Powder)->596
Set(Tea Powder, Yougurt, Lassi, Panner)->542
Set(Sweet, Tea Powder, Ghee, Milk)->550
Set(Tea Powder, Ghee, Cheese, Bread)->523
Set(Butter, Tea Powder, Yougurt, Panner)->555
Set(Tea Powder, Ghee, Yougurt, Lassi)->527
Set(Sweet, Tea Powder, Lassi, Panner)->624
Set(Tea Powder, Ghee, Bread, Panner)->557
Set(Sweet, Yougurt, Lassi, Cheese)->586
Set(Sugar, Ghee, Coffee Powder, Bread)->567
Set(Sugar, Ghee, Milk, Panner)->560
Set(Ghee, Lassi, Cheese, Milk)->558
Set(Sweet, Ghee, Cheese, Panner)->548
Set(Sweet, Ghee, Yougurt, Milk)->538
Set(Sweet, Yougurt, Coffee Powder, Panner)->577
Set(Tea Powder, Ghee, Bread, Milk)->537
Set(Sugar, Coffee Powder, Cheese, Bread)->564
Set(Butter, Lassi, Cheese, Panner)->561
Set(Sugar, Sweet, Ghee, Milk)->557
Set(Butter, Sweet, Ghee, Cheese)->504
Set(Sugar, Butter, Ghee, Panner)->587
Set(Ghee, Yougurt, Cheese, Panner)->576
Set(Sweet, Cheese, Bread, Panner)->577
Set(Sweet, Tea Powder, Ghee, Bread)->536
Set(Butter, Ghee, Cheese, Panner)->546
Set(Butter, Sweet, Ghee, Lassi)->580
Set(Sugar, Sweet, Cheese, Panner)->547
Set(Sweet, Cheese, Bread, Milk)->557
Set(Sweet, Coffee Powder, Cheese, Milk)->540
Set(Yougurt, Bread, Milk, Panner)->572
Set(Butter, Yougurt, Bread, Milk)->573
Set(Butter, Yougurt, Coffee Powder, Milk)->587
Set(Sugar, Coffee Powder, Bread, Milk)->579
Set(Sugar, Sweet, Coffee Powder, Panner)->547
Set(Butter, Sweet, Lassi, Panner)->609
Set(Sugar, Butter, Lassi, Coffee Powder)->569
Set(Butter, Yougurt, Cheese, Panner)->575
Set(Butter, Tea Powder, Lassi, Bread)->521
Set(Sugar, Sweet, Bread, Milk)->572
Set(Tea Powder, Yougurt, Coffee Powder, Milk)->570
Set(Butter, Sweet, Yougurt, Panner)->591
Set(Ghee, Lassi, Bread, Milk)->582
Set(Sweet, Ghee, Yougurt, Lassi)->549
Set(Sweet, Ghee, Lassi, Cheese)->553
Set(Sweet, Ghee, Yougurt, Panner)->542
Set(Sweet, Tea Powder, Coffee Powder, Milk)->559
Set(Butter, Sweet, Yougurt, Milk)->569
Set(Ghee, Coffee Powder, Bread, Panner)->586
Set(Tea Powder, Lassi, Cheese, Bread)->520
Set(Sweet, Tea Powder, Cheese, Milk)->517
Set(Sugar, Ghee, Bread, Panner)->586
Set(Sugar, Butter, Tea Powder, Cheese)->523
Set(Sweet, Tea Powder, Yougurt, Milk)->544
Set(Sugar, Sweet, Coffee Powder, Bread)->560
Set(Sugar, Coffee Powder, Milk, Panner)->575
Set(Tea Powder, Yougurt, Lassi, Cheese)->529
Set(Sugar, Tea Powder, Yougurt, Milk)->574
Set(Sugar, Sweet, Ghee, Panner)->541
Set(Sugar, Lassi, Bread, Milk)->574
Set(Ghee, Yougurt, Cheese, Milk)->556
Set(Sugar, Lassi, Bread, Panner)->584
Set(Yougurt, Cheese, Milk, Panner)->584
Set(Sugar, Yougurt, Cheese, Panner)->566
Set(Butter, Tea Powder, Lassi, Milk)->536
Set(Sugar, Butter, Cheese, Panner)->560
Set(Tea Powder, Ghee, Lassi, Bread)->567
Set(Sugar, Butter, Lassi, Milk)->596
Set(Tea Powder, Ghee, Yougurt, Milk)->540
Set(Sugar, Tea Powder, Bread, Panner)->549
Set(Sugar, Sweet, Coffee Powder, Cheese)->527
Set(Sugar, Sweet, Tea Powder, Coffee Powder)->570
Set(Yougurt, Coffee Powder, Cheese, Milk)->586
Set(Butter, Tea Powder, Yougurt, Milk)->532
Set(Ghee, Yougurt, Coffee Powder, Milk)->597
Set(Butter, Yougurt, Milk, Panner)->563
Set(Sugar, Butter, Lassi, Panner)->594
Set(Tea Powder, Coffee Powder, Cheese, Bread)->530
Set(Butter, Lassi, Milk, Panner)->567
Set(Butter, Sweet, Yougurt, Cheese)->573
Set(Sweet, Coffee Powder, Bread, Panner)->583
Set(Sugar, Butter, Yougurt, Bread)->577
Set(Yougurt, Lassi, Coffee Powder, Panner)->580
Set(Sugar, Sweet, Ghee, Lassi)->571
Set(Sweet, Tea Powder, Yougurt, Cheese)->547
Set(Sugar, Tea Powder, Bread, Milk)->571
Set(Butter, Lassi, Coffee Powder, Bread)->559
Set(Sugar, Ghee, Yougurt, Bread)->552
Set(Sugar, Butter, Sweet, Yougurt)->602
Set(Sugar, Butter, Cheese, Milk)->566
Set(Sweet, Tea Powder, Lassi, Cheese)->545
Set(Butter, Sweet, Milk, Panner)->561
Set(Butter, Lassi, Coffee Powder, Panner)->565
Set(Yougurt, Cheese, Bread, Panner)->578
Set(Butter, Lassi, Bread, Panner)->558
Set(Sugar, Lassi, Cheese, Milk)->552
Set(Tea Powder, Coffee Powder, Milk, Panner)->505
Set(Sugar, Tea Powder, Ghee, Cheese)->513
Set(Tea Powder, Lassi, Milk, Panner)->557
Set(Sweet, Tea Powder, Ghee, Cheese)->501
Set(Butter, Sweet, Ghee, Panner)->563
Set(Butter, Ghee, Yougurt, Bread)->551
Set(Butter, Yougurt, Cheese, Milk)->543
Set(Butter, Sweet, Cheese, Bread)->536
Set(Butter, Sweet, Coffee Powder, Bread)->542
Set(Sweet, Tea Powder, Yougurt, Panner)->534
Set(Yougurt, Lassi, Cheese, Panner)->583
Set(Tea Powder, Cheese, Bread, Panner)->546
Set(Sweet, Ghee, Cheese, Milk)->535
Set(Sugar, Butter, Tea Powder, Bread)->541
Set(Sweet, Ghee, Yougurt, Cheese)->546
Set(Yougurt, Lassi, Bread, Milk)->556
Set(Sugar, Cheese, Bread, Panner)->573
Set(Coffee Powder, Cheese, Milk, Panner)->547
Set(Sweet, Bread, Milk, Panner)->592
Set(Butter, Yougurt, Lassi, Coffee Powder)->579
Set(Butter, Sweet, Ghee, Coffee Powder)->543
Set(Sweet, Tea Powder, Lassi, Bread)->579
Set(Tea Powder, Ghee, Yougurt, Bread)->540
Set(Tea Powder, Yougurt, Bread, Milk)->566
Set(Sweet, Tea Powder, Lassi, Coffee Powder)->587
Set(Butter, Sweet, Lassi, Cheese)->581
Set(Butter, Sweet, Cheese, Milk)->538
Set(Sugar, Ghee, Cheese, Milk)->551
Set(Sweet, Ghee, Bread, Panner)->574
Set(Butter, Tea Powder, Ghee, Bread)->551
Set(Coffee Powder, Cheese, Bread, Milk)->580
Set(Sweet, Ghee, Lassi, Bread)->603
Set(Sugar, Butter, Ghee, Bread)->564
Set(Butter, Sweet, Tea Powder, Milk)->554
Set(Sugar, Butter, Coffee Powder, Milk)->597
Set(Butter, Yougurt, Lassi, Bread)->534
Set(Butter, Ghee, Coffee Powder, Panner)->579
Set(Sweet, Tea Powder, Cheese, Panner)->543
Set(Sugar, Yougurt, Lassi, Bread)->542
Set(Sweet, Lassi, Coffee Powder, Panner)->608
Set(Sweet, Coffee Powder, Cheese, Bread)->568
Set(Sugar, Sweet, Milk, Panner)->572
Set(Lassi, Cheese, Bread, Panner)->580
Set(Butter, Ghee, Milk, Panner)->552
Set(Sweet, Coffee Powder, Bread, Milk)->568
Set(Sugar, Tea Powder, Ghee, Panner)->551
Set(Sweet, Ghee, Lassi, Panner)->600
Set(Sugar, Ghee, Lassi, Milk)->589
Set(Sugar, Sweet, Lassi, Bread)->593
Set(Lassi, Coffee Powder, Bread, Milk)->574
Set(Sugar, Lassi, Coffee Powder, Milk)->590
Set(Yougurt, Lassi, Coffee Powder, Cheese)->564
Set(Sugar, Tea Powder, Coffee Powder, Cheese)->526
Set(Butter, Ghee, Yougurt, Lassi)->559
Set(Ghee, Lassi, Coffee Powder, Milk)->590
Set(Sugar, Sweet, Tea Powder, Lassi)->594
Set(Lassi, Cheese, Milk, Panner)->564
Set(Sugar, Tea Powder, Coffee Powder, Milk)->584
Set(Sugar, Sweet, Lassi, Panner)->605
Set(Butter, Ghee, Yougurt, Coffee Powder)->597
Set(Butter, Sweet, Lassi, Milk)->607
Set(Sugar, Tea Powder, Coffee Powder, Bread)->574
Set(Ghee, Cheese, Bread, Panner)->573
Set(Butter, Tea Powder, Ghee, Lassi)->555
Set(Tea Powder, Bread, Milk, Panner)->559
Set(Sugar, Tea Powder, Yougurt, Bread)->564
Set(Sugar, Butter, Tea Powder, Lassi)->546
Set(Butter, Lassi, Bread, Milk)->565
Set(Sweet, Tea Powder, Coffee Powder, Panner)->546
Set(Sugar, Yougurt, Coffee Powder, Cheese)->562
Set(Sugar, Ghee, Coffee Powder, Cheese)->524
Set(Sugar, Sweet, Lassi, Cheese)->558
Set(Butter, Ghee, Cheese, Milk)->534
Set(Sweet, Ghee, Coffee Powder, Bread)->579
Set(Butter, Tea Powder, Yougurt, Bread)->566
Set(Tea Powder, Cheese, Milk, Panner)->502
Set(Sweet, Tea Powder, Coffee Powder, Bread)->547
Set(Ghee, Yougurt, Lassi, Coffee Powder)->584
Set(Sugar, Yougurt, Coffee Powder, Milk)->601
Set(Sugar, Sweet, Bread, Panner)->562
Set(Sugar, Tea Powder, Coffee Powder, Panner)->551
Set(Butter, Sweet, Ghee, Yougurt)->551
Set(Ghee, Coffee Powder, Milk, Panner)->546
Set(Butter, Ghee, Coffee Powder, Bread)->540
Set(Butter, Tea Powder, Ghee, Milk)->550
Set(Sweet, Ghee, Coffee Powder, Panner)->555
Set(Sweet, Coffee Powder, Cheese, Panner)->551
Set(Sugar, Butter, Coffee Powder, Panner)->571
Set(Sugar, Lassi, Milk, Panner)->590
Set(Sugar, Tea Powder, Ghee, Milk)->571
Set(Butter, Sweet, Coffee Powder, Cheese)->536
Set(Tea Powder, Cheese, Bread, Milk)->517
Set(Butter, Sweet, Bread, Milk)->575
Set(Ghee, Lassi, Coffee Powder, Panner)->597
Set(Sweet, Tea Powder, Ghee, Lassi)->580
Set(Tea Powder, Yougurt, Lassi, Bread)->536
Set(Butter, Cheese, Bread, Milk)->553
Set(Sugar, Lassi, Coffee Powder, Bread)->567
Set(Ghee, Lassi, Cheese, Panner)->572
Set(Sweet, Tea Powder, Yougurt, Bread)->555
Set(Tea Powder, Ghee, Lassi, Coffee Powder)->569
Set(Sugar, Sweet, Cheese, Milk)->559
Set(Ghee, Yougurt, Lassi, Bread)->555
Set(Butter, Ghee, Coffee Powder, Milk)->551
Set(Sugar, Butter, Tea Powder, Ghee)->555
Set(Tea Powder, Yougurt, Coffee Powder, Cheese)->555
Set(Sugar, Yougurt, Lassi, Panner)->570
Set(Tea Powder, Coffee Powder, Cheese, Panner)->509
Set(Butter, Ghee, Yougurt, Milk)->551
Set(Sugar, Sweet, Ghee, Coffee Powder)->551
Set(Sweet, Ghee, Lassi, Milk)->584
Set(Butter, Ghee, Lassi, Coffee Powder)->591
Set(Sugar, Lassi, Cheese, Panner)->564
Set(Butter, Coffee Powder, Bread, Milk)->554
Set(Sugar, Sweet, Yougurt, Coffee Powder)->567
Set(Tea Powder, Ghee, Coffee Powder, Milk)->552
Set(Tea Powder, Ghee, Milk, Panner)->528
Set(Butter, Ghee, Coffee Powder, Cheese)->535
Set(Tea Powder, Ghee, Coffee Powder, Cheese)->513
Set(Tea Powder, Ghee, Lassi, Milk)->572
Set(Butter, Cheese, Bread, Panner)->571
Set(Butter, Tea Powder, Bread, Panner)->532
Set(Butter, Sweet, Cheese, Panner)->589
Set(Tea Powder, Coffee Powder, Bread, Panner)->557
Set(Tea Powder, Lassi, Bread, Panner)->566
Set(Tea Powder, Ghee, Coffee Powder, Bread)->562
Set(Yougurt, Cheese, Bread, Milk)->578
Set(Sugar, Tea Powder, Lassi, Milk)->587
Set(Ghee, Yougurt, Lassi, Panner)->572
Set(Sweet, Tea Powder, Bread, Panner)->565
Set(Butter, Tea Powder, Lassi, Panner)->535
Set(Ghee, Yougurt, Lassi, Cheese)->564
Set(Sweet, Tea Powder, Lassi, Milk)->583
Set(Butter, Ghee, Lassi, Panner)->591
Set(Sugar, Butter, Coffee Powder, Bread)->570
Set(Butter, Yougurt, Cheese, Bread)->565
Set(Butter, Tea Powder, Ghee, Cheese)->514
Set(Butter, Coffee Powder, Cheese, Panner)->546
Set(Sugar, Sweet, Tea Powder, Ghee)->541
Set(Sugar, Sweet, Yougurt, Lassi)->581
Set(Sugar, Lassi, Cheese, Bread)->554
Set(Butter, Ghee, Lassi, Cheese)->542
Set(Sweet, Lassi, Cheese, Bread)->578
Set(Sweet, Lassi, Coffee Powder, Milk)->582
Set(Coffee Powder, Bread, Milk, Panner)->576
Set(Sweet, Cheese, Milk, Panner)->551
Set(Sweet, Ghee, Coffee Powder, Milk)->552
Set(Sugar, Yougurt, Cheese, Bread)->557
Set(Butter, Lassi, Coffee Powder, Cheese)->551
Set(Sugar, Butter, Coffee Powder, Cheese)->546
HashSet(Sugar, Sweet, Tea Powder, Panner, Cheese)->248
HashSet(Butter, Ghee, Panner, Lassi, Coffee Powder)->287
HashSet(Tea Powder, Lassi, Coffee Powder, Milk, Panner)->246
HashSet(Sweet, Tea Powder, Ghee, Yougurt, Milk)->237
HashSet(Sweet, Ghee, Yougurt, Milk, Lassi)->261
HashSet(Butter, Tea Powder, Ghee, Lassi, Bread)->256
HashSet(Sugar, Panner, Lassi, Cheese, Bread)->282
HashSet(Sweet, Yougurt, Coffee Powder, Milk, Panner)->262
HashSet(Sugar, Butter, Ghee, Yougurt, Coffee Powder)->289
HashSet(Butter, Sweet, Lassi, Coffee Powder, Bread)->257
HashSet(Butter, Sweet, Tea Powder, Ghee, Milk)->255
HashSet(Sugar, Butter, Tea Powder, Panner, Lassi)->247
HashSet(Sugar, Yougurt, Milk, Lassi, Cheese)->263
HashSet(Sugar, Sweet, Panner, Cheese, Bread)->258
HashSet(Butter, Ghee, Yougurt, Panner, Cheese)->276
HashSet(Sugar, Butter, Tea Powder, Ghee, Cheese)->238
HashSet(Sweet, Ghee, Lassi, Coffee Powder, Cheese)->249
HashSet(Butter, Sweet, Milk, Lassi, Coffee Powder)->280
HashSet(Butter, Tea Powder, Bread, Milk, Panner)->240
HashSet(Sweet, Milk, Lassi, Coffee Powder, Bread)->273
HashSet(Sweet, Tea Powder, Yougurt, Coffee Powder, Cheese)->249
HashSet(Sugar, Sweet, Coffee Powder, Milk, Panner)->257
HashSet(Butter, Sweet, Tea Powder, Milk, Cheese)->234
HashSet(Tea Powder, Ghee, Milk, Cheese, Bread)->239
HashSet(Sweet, Tea Powder, Milk, Lassi, Cheese)->245
HashSet(Sugar, Butter, Coffee Powder, Milk, Panner)->267
HashSet(Tea Powder, Ghee, Yougurt, Lassi, Coffee Powder)->259
HashSet(Sweet, Ghee, Panner, Coffee Powder, Cheese)->256
HashSet(Tea Powder, Ghee, Milk, Coffee Powder, Bread)->258
HashSet(Sweet, Tea Powder, Milk, Coffee Powder, Cheese)->236
HashSet(Yougurt, Coffee Powder, Cheese, Milk, Panner)->274
HashSet(Butter, Cheese, Bread, Milk, Panner)->262
HashSet(Sugar, Ghee, Panner, Lassi, Cheese)->273
HashSet(Sweet, Ghee, Cheese, Milk, Panner)->257
HashSet(Sugar, Butter, Sweet, Tea Powder, Cheese)->255
HashSet(Sweet, Ghee, Lassi, Coffee Powder, Bread)->289
HashSet(Sugar, Butter, Yougurt, Milk, Bread)->274
HashSet(Butter, Milk, Lassi, Coffee Powder, Bread)->273
HashSet(Butter, Sweet, Ghee, Coffee Powder, Bread)->241
HashSet(Sugar, Butter, Sweet, Yougurt, Panner)->280
HashSet(Sugar, Sweet, Tea Powder, Panner, Coffee Powder)->266
HashSet(Butter, Sweet, Panner, Lassi, Coffee Powder)->266
HashSet(Sugar, Sweet, Tea Powder, Cheese, Bread)->236
HashSet(Ghee, Yougurt, Bread, Milk, Panner)->268
HashSet(Butter, Sweet, Ghee, Yougurt, Milk)->253
HashSet(Sugar, Butter, Tea Powder, Panner, Coffee Powder)->249
HashSet(Sugar, Ghee, Milk, Lassi, Cheese)->265
HashSet(Sugar, Butter, Ghee, Panner, Coffee Powder)->275
HashSet(Sweet, Tea Powder, Ghee, Lassi, Coffee Powder)->273
HashSet(Butter, Ghee, Milk, Coffee Powder, Cheese)->253
HashSet(Sugar, Butter, Ghee, Panner, Lassi)->283
HashSet(Sugar, Butter, Yougurt, Panner, Lassi)->280
HashSet(Butter, Sweet, Ghee, Panner, Bread)->251
HashSet(Sugar, Sweet, Tea Powder, Milk, Lassi)->288
HashSet(Sugar, Sweet, Tea Powder, Yougurt, Coffee Powder)->263
HashSet(Sugar, Tea Powder, Milk, Coffee Powder, Cheese)->255
HashSet(Sweet, Tea Powder, Ghee, Panner, Cheese)->231
HashSet(Sugar, Ghee, Yougurt, Milk, Lassi)->278
HashSet(Sugar, Butter, Sweet, Panner, Cheese)->265
HashSet(Sugar, Tea Powder, Yougurt, Lassi, Bread)->242
HashSet(Sugar, Butter, Yougurt, Lassi, Bread)->264
HashSet(Ghee, Yougurt, Panner, Coffee Powder, Cheese)->278
HashSet(Sugar, Butter, Milk, Cheese, Bread)->267
HashSet(Tea Powder, Yougurt, Lassi, Milk, Panner)->253
HashSet(Sugar, Ghee, Panner, Coffee Powder, Cheese)->245
HashSet(Butter, Ghee, Yougurt, Coffee Powder, Bread)->261
HashSet(Butter, Ghee, Yougurt, Milk, Cheese)->252
HashSet(Sugar, Ghee, Milk, Cheese, Bread)->262
HashSet(Sugar, Butter, Tea Powder, Ghee, Bread)->257
HashSet(Sugar, Tea Powder, Ghee, Cheese, Bread)->246
HashSet(Butter, Sweet, Panner, Lassi, Cheese)->290
HashSet(Sugar, Butter, Tea Powder, Ghee, Lassi)->266
HashSet(Tea Powder, Yougurt, Milk, Coffee Powder, Bread)->277
HashSet(Sugar, Butter, Yougurt, Milk, Cheese)->259
HashSet(Butter, Yougurt, Milk, Lassi, Cheese)->249
HashSet(Sugar, Ghee, Yougurt, Milk, Bread)->264
HashSet(Tea Powder, Yougurt, Bread, Milk, Panner)->261
HashSet(Butter, Tea Powder, Yougurt, Coffee Powder, Cheese)->260
HashSet(Butter, Sweet, Bread, Milk, Panner)->263
HashSet(Sugar, Sweet, Ghee, Yougurt, Panner)->245
HashSet(Butter, Panner, Lassi, Cheese, Bread)->255
HashSet(Butter, Sweet, Yougurt, Panner, Coffee Powder)->279
HashSet(Butter, Panner, Lassi, Coffee Powder, Bread)->273
HashSet(Butter, Sweet, Yougurt, Milk, Coffee Powder)->286
HashSet(Butter, Sweet, Tea Powder, Milk, Panner)->248
HashSet(Sweet, Yougurt, Panner, Lassi, Coffee Powder)->295
HashSet(Ghee, Yougurt, Lassi, Cheese, Bread)->274
HashSet(Sweet, Lassi, Cheese, Milk, Panner)->279
HashSet(Sweet, Panner, Lassi, Coffee Powder, Bread)->300
HashSet(Sugar, Tea Powder, Yougurt, Milk, Cheese)->261
HashSet(Sweet, Tea Powder, Ghee, Coffee Powder, Cheese)->220
HashSet(Sweet, Yougurt, Coffee Powder, Cheese, Bread)->259
HashSet(Yougurt, Panner, Lassi, Coffee Powder, Bread)->273
HashSet(Tea Powder, Coffee Powder, Cheese, Milk, Panner)->217
HashSet(Tea Powder, Yougurt, Milk, Cheese, Bread)->254
HashSet(Sweet, Yougurt, Lassi, Coffee Powder, Cheese)->262
HashSet(Sugar, Yougurt, Milk, Lassi, Bread)->260
HashSet(Sugar, Sweet, Yougurt, Milk, Lassi)->271
HashSet(Butter, Yougurt, Coffee Powder, Milk, Panner)->265
HashSet(Tea Powder, Ghee, Lassi, Coffee Powder, Cheese)->239
HashSet(Sweet, Ghee, Panner, Cheese, Bread)->257
HashSet(Butter, Sweet, Yougurt, Coffee Powder, Cheese)->269
HashSet(Sugar, Panner, Coffee Powder, Cheese, Bread)->278
HashSet(Sugar, Sweet, Ghee, Yougurt, Cheese)->250
HashSet(Sugar, Butter, Tea Powder, Yougurt, Coffee Powder)->286
HashSet(Sugar, Butter, Panner, Coffee Powder, Bread)->266
HashSet(Sugar, Tea Powder, Milk, Coffee Powder, Bread)->278
HashSet(Ghee, Yougurt, Milk, Lassi, Cheese)->254
HashSet(Tea Powder, Yougurt, Panner, Lassi, Coffee Powder)->262
HashSet(Sugar, Yougurt, Milk, Coffee Powder, Bread)->275
HashSet(Sweet, Tea Powder, Yougurt, Coffee Powder, Bread)->263
HashSet(Yougurt, Lassi, Cheese, Milk, Panner)->280
HashSet(Sweet, Lassi, Coffee Powder, Milk, Panner)->289
HashSet(Butter, Sweet, Tea Powder, Yougurt, Cheese)->257
HashSet(Sweet, Ghee, Yougurt, Panner, Lassi)->271
HashSet(Tea Powder, Ghee, Cheese, Milk, Panner)->230
HashSet(Butter, Sweet, Yougurt, Milk, Bread)->262
HashSet(Ghee, Yougurt, Panner, Lassi, Cheese)->278
HashSet(Sugar, Ghee, Yougurt, Milk, Cheese)->266
HashSet(Sugar, Butter, Tea Powder, Panner, Bread)->238
HashSet(Sugar, Tea Powder, Yougurt, Cheese, Bread)->261
HashSet(Yougurt, Lassi, Coffee Powder, Milk, Panner)->282
HashSet(Sugar, Sweet, Tea Powder, Ghee, Bread)->250
HashSet(Butter, Tea Powder, Yougurt, Cheese, Bread)->260
HashSet(Sugar, Ghee, Yougurt, Panner, Bread)->269
HashSet(Sugar, Tea Powder, Lassi, Coffee Powder, Bread)->263
HashSet(Sugar, Sweet, Ghee, Coffee Powder, Cheese)->225
HashSet(Butter, Tea Powder, Ghee, Panner, Cheese)->241
HashSet(Sugar, Sweet, Tea Powder, Lassi, Bread)->268
HashSet(Sugar, Sweet, Ghee, Milk, Bread)->261
HashSet(Lassi, Coffee Powder, Bread, Milk, Panner)->282
HashSet(Sweet, Ghee, Panner, Lassi, Coffee Powder)->286
HashSet(Sweet, Tea Powder, Milk, Lassi, Bread)->272
HashSet(Sweet, Tea Powder, Ghee, Lassi, Bread)->284
HashSet(Butter, Ghee, Cheese, Milk, Panner)->250
HashSet(Butter, Tea Powder, Ghee, Milk, Cheese)->243
HashSet(Ghee, Yougurt, Coffee Powder, Cheese, Bread)->285
HashSet(Sugar, Tea Powder, Yougurt, Panner, Coffee Powder)->270
HashSet(Sweet, Yougurt, Milk, Coffee Powder, Bread)->269
HashSet(Ghee, Panner, Lassi, Coffee Powder, Cheese)->280
HashSet(Sugar, Sweet, Tea Powder, Panner, Bread)->254
HashSet(Sugar, Tea Powder, Ghee, Coffee Powder, Bread)->278
HashSet(Sweet, Tea Powder, Panner, Coffee Powder, Cheese)->243
HashSet(Sugar, Tea Powder, Panner, Coffee Powder, Bread)->272
HashSet(Sugar, Tea Powder, Milk, Cheese, Bread)->252
HashSet(Sweet, Coffee Powder, Cheese, Milk, Panner)->244
HashSet(Sugar, Butter, Ghee, Milk, Bread)->266
HashSet(Ghee, Yougurt, Panner, Lassi, Bread)->264
HashSet(Butter, Ghee, Milk, Cheese, Bread)->259
HashSet(Sweet, Panner, Coffee Powder, Cheese, Bread)->269
HashSet(Tea Powder, Yougurt, Panner, Coffee Powder, Bread)->272
HashSet(Sweet, Lassi, Coffee Powder, Cheese, Bread)->274
HashSet(Butter, Tea Powder, Milk, Lassi, Bread)->243
HashSet(Sweet, Ghee, Yougurt, Lassi, Cheese)->263
HashSet(Sugar, Tea Powder, Yougurt, Coffee Powder, Cheese)->256
HashSet(Sweet, Yougurt, Milk, Lassi, Coffee Powder)->281
HashSet(Sugar, Tea Powder, Ghee, Panner, Lassi)->273
HashSet(Butter, Tea Powder, Ghee, Milk, Coffee Powder)->262
HashSet(Sugar, Butter, Ghee, Coffee Powder, Bread)->267
HashSet(Ghee, Yougurt, Panner, Cheese, Bread)->273
HashSet(Sugar, Butter, Panner, Lassi, Coffee Powder)->280
HashSet(Sugar, Sweet, Panner, Coffee Powder, Cheese)->248
HashSet(Tea Powder, Ghee, Lassi, Coffee Powder, Bread)->279
HashSet(Tea Powder, Milk, Lassi, Coffee Powder, Cheese)->231
HashSet(Sweet, Coffee Powder, Bread, Milk, Panner)->273
HashSet(Butter, Sweet, Ghee, Yougurt, Bread)->231
HashSet(Sugar, Butter, Sweet, Milk, Panner)->279
HashSet(Sugar, Butter, Sweet, Tea Powder, Lassi)->286
HashSet(Sweet, Ghee, Milk, Cheese, Bread)->260
HashSet(Butter, Sweet, Milk, Lassi, Cheese)->264
HashSet(Butter, Tea Powder, Panner, Cheese, Bread)->248
HashSet(Sugar, Butter, Sweet, Tea Powder, Panner)->264
HashSet(Sugar, Yougurt, Lassi, Milk, Panner)->273
HashSet(Butter, Tea Powder, Lassi, Cheese, Bread)->219
HashSet(Ghee, Yougurt, Milk, Coffee Powder, Bread)->272
HashSet(Sugar, Sweet, Tea Powder, Ghee, Panner)->241
